time_,low,high,open,close,volume
2025-05-03 20:16:00+00:00,96339.16,96344.89,96344.89,96341.41,1.99004308
2025-05-03 20:17:00+00:00,96341.4,96341.41,96341.41,96341.41,0.27964596
2025-05-03 20:18:00+00:00,96329.88,96341.41,96341.41,96331.98,1.98733103
2025-05-03 20:19:00+00:00,96331.95,96354.06,96331.97,96354.06,3.11976257
2025-05-03 20:20:00+00:00,96341.95,96363.57,96354.06,96362.4,4.30288563
2025-05-03 20:21:00+00:00,96358.61,96392.89,96362.39,96382.96,3.38708712
2025-05-03 20:22:00+00:00,96372.67,96390.8,96382.96,96388.05,2.29422416
2025-05-03 20:23:00+00:00,96374.79,96388.05,96388.04,96374.8,2.11823229
2025-05-03 20:24:00+00:00,96365.52,96379.91,96374.79,96379.12,2.08777864
2025-05-03 20:25:00+00:00,96337.66,96379.13,96379.13,96370.3,1.84539101
